exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr6:142440908-142440953	+	ADGRG6	ENST00000296932	0.184	chr2:171058151-171058197	-	TLK1	ENST00000431350	0.0	NONO
chr19:11039458-11039553	+	SMARCA4	ENST00000642726	0.173	chr19:40757332-40757441	+	SNRPA	ENST00000601393	-0.02	NONO
chr17:82052375-82052459	+	GPS1	ENST00000320548	0.149	chr1:1374705-1374790	-	AURKAIP1	ENST00000338338	-0.0	NONO
chr18:9944924-9945058	+	VAPA	ENST00000340541	0.149	chr1:224424518-224424654	-	WDR26	ENST00000414423	-0.01	NONO
chr17:81907204-81907257	-	PCYT2	ENST00000538721	0.165	chr1:1314301-1314365	-	INTS11	ENST00000435064	0.02	NONO
chr2:227342745-227342819	+	MFF	ENST00000353339	0.33	chr12:22513294-22513379	-	C2CD5	ENST00000446597	-0.01	NONO
chr14:23556743-23557034	+	THTPA	ENST00000554970	0.368	chr9:136462887-136463132	-	SEC16A	ENST00000684901	-0.01	NONO
chr11:62870745-62870837	+	SLC3A2	ENST00000377890	-0.234	chr7:75426362-75426453	-	POM121C	ENST00000615331	-0.0	NONO
chrX:132439435-132439572	-	MBNL3	ENST00000370844	-0.332	chr2:171117739-171117857	-	TLK1	ENST00000431350	0.01	NONO
chr12:124327547-124327633	-	NCOR2	ENST00000404621	-0.427	chr22:50683340-50683417	+	SHANK3	ENST00000262795	-0.01	NONO
chr17:82052256-82052459	+	GPS1	ENST00000706670	0.135	chr11:68044132-68044344	+	TCIRG1	ENST00000265686	-0.0	NONO
chr21:45266022-45266227	-	POFUT2	ENST00000615172	0.228	chr1:1300509-1300692	-	ACAP3	ENST00000354700	0.02	NONO
chr19:8418537-8418807	+	MARCHF2	ENST00000601283	-0.394	chr14:94619195-94619468	+	SERPINA3	ENST00000393078	0.0	NONO
chr16:31093312-31093482	-	VKORC1	ENST00000300851	-0.201	chr18:74513559-74513719	+	CNDP2	ENST00000324262	-0.02	NONO
chr16:4343483-4343594	-	PAM16	ENST00000571941	-0.467	chr11:65543427-65543549	-	LTBP3	ENST00000301873	0.01	NONO
chr17:82052378-82052459	+	GPS1	ENST00000581578	0.138	chr19:49513387-49513473	+	FCGRT	ENST00000221466	-0.01	NONO
chr11:62876787-62876879	+	SLC3A2	ENST00000538084	-0.281	chr17:2991297-2991397	+	RAP1GAP2	ENST00000254695	-0.02	NONO
chr17:82052259-82052459	+	GPS1	ENST00000583885	0.142	chr16:88736148-88736408	-	PIEZO1	ENST00000301015	-0.01	NONO
chrX:103684681-103684729	-	MORF4L2	ENST00000442614	0.247	chr14:96527953-96528006	+	PAPOLA	ENST00000216277	0.02	NONO
chr20:35658930-35659014	-	CPNE1	ENST00000414711	-0.145	chr2:128103932-128104014	+	UGGT1	ENST00000259253	-0.0	NONO
chr19:46748515-46748621	+	FKRP	ENST00000600227	-0.341	chr11:73653370-73653461	+	PLEKHB1	ENST00000546251	-0.01	NONO
chr2:219229010-219229174	-	ATG9A	ENST00000436856	0.337	chr15:75368073-75368198	-	MAN2C1	ENST00000267978	-0.01	NONO
chr19:8418742-8418807	+	MARCHF2	ENST00000601724	-0.454	chr1:154932352-154932415	-	PMVK	ENST00000368467	0.01	NONO
chr13:77021657-77021861	-	FBXL3	ENST00000417323	-0.37	chr13:46058179-46058381	-	CPB2	ENST00000181383	0.0	NONO
chr7:150369742-150369868	+	REPIN1	ENST00000488943	-0.455	chrX:316914-317051	-	GTPBP6	ENST00000326153	-0.01	NONO
