exon_KD	Strand_KD	gene_name_KD	transcript_id_KD	dPSI_KD	exon_CTRL	Strand_CTRL	gene_name_CTRL	transcript_id_CTRL	dPSI_CTRL	RBP
chr6:142383760-142383843	+	ADGRG6	ENST00000367609	0.485	chr14:30707990-30708065	+	SCFD1	ENST00000458591	0.01	SMN1
chr1:45607321-45608337	+	NASP	ENST00000350030	-0.171	chr6:7579275-7580240	+	DSP	ENST00000710359	0.0	SMN1
chr10:24542883-24544481	+	KIAA1217	ENST00000376454	-0.28	chr14:21430801-21431643	-	CHD8	ENST00000646340	-0.02	SMN1
chr7:158752781-158752843	-	ESYT2	ENST00000275418	0.32	chr14:54436369-54436437	-	CNIH1	ENST00000216416	0.0	SMN1
chr8:143791666-143791740	-	SCRIB	ENST00000356994	-0.855	chr20:3230187-3230260	-	SLC4A11	ENST00000642402	-0.02	SMN1
chr3:37361243-37361305	+	GOLGA4	ENST00000361924	0.324	chr11:16748097-16748157	+	C11orf58	ENST00000228136	-0.0	SMN1
chr4:169508769-169508852	-	NEK1	ENST00000507142	-0.546	chr3:150622385-150622495	+	SELENOT	ENST00000471696	0.01	SMN1
chr1:1853152-1853297	-	GNB1	ENST00000703693	-0.508	chr1:19357422-19357563	-	CAPZB	ENST00000264202	-0.0	SMN1
chr1:1879787-1879902	-	GNB1	ENST00000703701	-0.349	chr22:50388986-50389111	+	PPP6R2	ENST00000216061	-0.02	SMN1
chr2:218285763-218285938	-	TMBIM1	ENST00000444881	-0.274	chr17:75564353-75564507	+	LLGL2	ENST00000392550	-0.01	SMN1
chr14:103712875-103712968	-	XRCC3	ENST00000554913	0.411	chr16:89904118-89904205	+	TCF25	ENST00000263346	-0.0	SMN1
chr5:111755770-111755926	-	NREP	ENST00000508870	0.217	chr14:88577985-88578140	+	ZC3H14	ENST00000251038	0.01	SMN1
chr16:47463882-47463993	+	PHKB	ENST00000566044	0.444	chr2:43428100-43428231	-	THADA	ENST00000405975	0.02	SMN1
chr2:62987931-62988038	+	EHBP1	ENST00000263991	0.181	chr8:78711990-78712106	+	ZC2HC1A	ENST00000519307	0.01	SMN1
chr4:151144220-151144288	-	SH3D19	ENST00000652233	0.197	chr4:82939889-82939962	-	LIN54	ENST00000340417	0.01	SMN1
chr4:1802914-1803064	+	FGFR3	ENST00000340107	0.325	chr21:45982634-45982763	+	COL6A1	ENST00000361866	-0.02	SMN1
chr3:58141858-58141896	+	FLNB	ENST00000429972	0.244	chr14:94100739-94100771	+	IFI27L1	ENST00000555523	0.0	SMN1
chr10:5720260-5720397	+	TASOR2	ENST00000695834	0.503	chr17:50750501-50750641	+	LUC7L3	ENST00000393227	-0.0	SMN1
chr7:99561888-99561973	+	ZNF655	ENST00000320583	0.474	chr2:10784934-10785030	-	PDIA6	ENST00000272227	-0.0	SMN1
chr10:122428276-122428420	+	PLEKHA1	ENST00000368988	-0.234	chr4:73419507-73419639	+	ALB	ENST00000295897	-0.0	SMN1
chrX:156022699-156022834	+	WASH6P	ENST00000359512	-0.388	chr11:561762-561892	+	RASSF7	ENST00000397583	-0.02	SMN1
chr22:35263982-35264096	+	HMGXB4	ENST00000455359	-0.595	chr14:24145058-24145155	-	PSME2	ENST00000216802	-0.0	SMN1
chr18:50273334-50273426	-	MBD1	ENST00000589541	-0.202	chr11:65617611-65617706	+	PCNX3	ENST00000355703	-0.01	SMN1
chr8:18083981-18084286	-	ASAH1	ENST00000637536	0.269	chr4:82373446-82373777	-	HNRNPD	ENST00000503822	-0.02	SMN1
chr16:47463899-47463993	+	PHKB	ENST00000566037	0.423	chrX:43657862-43657969	+	MAOA	ENST00000542639	-0.02	SMN1
chr2:20331717-20331937	-	PUM2	ENST00000424110	0.395	chr16:18889372-18889585	-	SMG1	ENST00000446231	0.01	SMN1
chr12:96907702-96907856	+	NEDD1	ENST00000557092	0.467	chr9:19126114-19126309	-	PLIN2	ENST00000276914	-0.0	SMN1
